model,accuracy,precision,recall,f1
wcl_base,0.9996666666666667,1.0,0.9993333333333333,0.9996665555185061
wcmsl_base,0.9996666666666667,1.0,0.9993333333333333,0.9996665555185061
wcl_big_ngrams,0.9996666666666667,1.0,0.9993333333333333,0.9996665555185061
wcmsl_more_chars,0.9996666666666667,1.0,0.9993333333333333,0.9996665555185061
wcmsl_more_words,0.9996666666666667,1.0,0.9993333333333333,0.9996665555185061
ms_strong_reg,0.8416666666666667,0.8104179285281647,0.892,0.8492542050142812
ms_base,0.8416666666666667,0.8104179285281647,0.892,0.8492542050142812
